Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote,Number of port calls Missing value
2018,5220,"Latin America and the Caribbean",04,"Dry breakbulk carriers",18600,,
2018,5220,"Latin America and the Caribbean",06,"Roll-on/ roll-off ships",8017,,
2018,5220,"Latin America and the Caribbean",03,"Container ships",37284,,
2018,5220,"Latin America and the Caribbean",01,"Passenger ships",37687,,
2018,5221,"Caribbean",00,"All ships",33931,,
2018,5221,"Caribbean",02,"Liquid bulk carriers",5324,,
2018,5221,"Caribbean",07,"Liquefied petroleum gas carriers",457,,
2018,5221,"Caribbean",08,"Liquefied natural gas carriers",225,,
2018,5221,"Caribbean",05,"Dry bulk carriers",1191,,
2018,5221,"Caribbean",04,"Dry breakbulk carriers",6828,,
2018,5221,"Caribbean",06,"Roll-on/ roll-off ships",1556,,
2018,5221,"Caribbean",03,"Container ships",6192,,
2018,5221,"Caribbean",01,"Passenger ships",12158,,
2018,5222,"Central America",00,"All ships",38029,,
2018,5222,"Central America",02,"Liquid bulk carriers",8861,,
2018,5222,"Central America",07,"Liquefied petroleum gas carriers",574,,
2018,5222,"Central America",08,"Liquefied natural gas carriers",67,,
2018,5222,"Central America",05,"Dry bulk carriers",3735,,
2018,5222,"Central America",04,"Dry breakbulk carriers",2909,,
2018,5222,"Central America",06,"Roll-on/ roll-off ships",3415,,
2018,5222,"Central America",03,"Container ships",12526,,
2018,5222,"Central America",01,"Passenger ships",5942,,
2018,5223,"South America",00,"All ships",91872,,
2018,5223,"South America",02,"Liquid bulk carriers",20316,,
2018,5223,"South America",07,"Liquefied petroleum gas carriers",2541,,
2018,5223,"South America",08,"Liquefied natural gas carriers",178,,
2018,5223,"South America",05,"Dry bulk carriers",18775,,
2018,5223,"South America",04,"Dry breakbulk carriers",8863,,
2018,5223,"South America",06,"Roll-on/ roll-off ships",3046,,
2018,5223,"South America",03,"Container ships",18566,,
2018,5223,"South America",01,"Passenger ships",19587,,
2018,5300,"Asia",00,"All ships",1274527,,
2018,5300,"Asia",02,"Liquid bulk carriers",231674,,
2018,5300,"Asia",07,"Liquefied petroleum gas carriers",27173,,
2018,5300,"Asia",08,"Liquefied natural gas carriers",6068,,
2018,5300,"Asia",05,"Dry bulk carriers",138849,,
2018,5300,"Asia",04,"Dry breakbulk carriers",150373,,
2018,5300,"Asia",06,"Roll-on/ roll-off ships",68546,,
2018,5300,"Asia",03,"Container ships",267023,,
2018,5300,"Asia",01,"Passenger ships",384821,,
2018,5310,"Central Asia",00,"All ships",2799,,
2018,5310,"Central Asia",02,"Liquid bulk carriers",1128,,
2018,5310,"Central Asia",07,"Liquefied petroleum gas carriers",,,"Not available or not separately reported"
2018,5310,"Central Asia",08,"Liquefied natural gas carriers",,,"Not available or not separately reported"
2018,5310,"Central Asia",05,"Dry bulk carriers",44,,
2018,5310,"Central Asia",04,"Dry breakbulk carriers",977,,
2018,5310,"Central Asia",06,"Roll-on/ roll-off ships",173,,
2018,5310,"Central Asia",03,"Container ships",,,"Not available or not separately reported"
2018,5310,"Central Asia",01,"Passenger ships",477,,
2018,5330,"Eastern Asia",00,"All ships",632720,,
2018,5330,"Eastern Asia",02,"Liquid bulk carriers",110015,,
2018,5330,"Eastern Asia",07,"Liquefied petroleum gas carriers",16594,,
2018,5330,"Eastern Asia",08,"Liquefied natural gas carriers",3577,,
2018,5330,"Eastern Asia",05,"Dry bulk carriers",94375,,
2018,5330,"Eastern Asia",04,"Dry breakbulk carriers",73029,,
2018,5330,"Eastern Asia",06,"Roll-on/ roll-off ships",47416,,
2018,5330,"Eastern Asia",03,"Container ships",158947,,
2018,5330,"Eastern Asia",01,"Passenger ships",128767,,
2018,5350,"South-eastern Asia",00,"All ships",321727,,
2018,5350,"South-eastern Asia",02,"Liquid bulk carriers",77803,,
2018,5350,"South-eastern Asia",07,"Liquefied petroleum gas carriers",6684,,
2018,5350,"South-eastern Asia",08,"Liquefied natural gas carriers",560,,
2018,5350,"South-eastern Asia",05,"Dry bulk carriers",19183,,
2018,5350,"South-eastern Asia",04,"Dry breakbulk carriers",35987,,
2018,5350,"South-eastern Asia",06,"Roll-on/ roll-off ships",9072,,
2018,5350,"South-eastern Asia",03,"Container ships",62879,,
2018,5350,"South-eastern Asia",01,"Passenger ships",109559,,
2018,5320,"Southern Asia",00,"All ships",58063,,
2018,5320,"Southern Asia",02,"Liquid bulk carriers",12771,,
2018,5320,"Southern Asia",07,"Liquefied petroleum gas carriers",1726,,
2018,5320,"Southern Asia",08,"Liquefied natural gas carriers",442,,
2018,5320,"Southern Asia",05,"Dry bulk carriers",12681,,
2018,5320,"Southern Asia",04,"Dry breakbulk carriers",11895,,
2018,5320,"Southern Asia",06,"Roll-on/ roll-off ships",940,,
2018,5320,"Southern Asia",03,"Container ships",15564,,
2018,5320,"Southern Asia",01,"Passenger ships",2044,,
2018,5340,"Western Asia",00,"All ships",259218,,
2018,5340,"Western Asia",02,"Liquid bulk carriers",29957,,
2018,5340,"Western Asia",07,"Liquefied petroleum gas carriers",2169,,
2018,5340,"Western Asia",08,"Liquefied natural gas carriers",1489,,
2018,5340,"Western Asia",05,"Dry bulk carriers",12566,,
2018,5340,"Western Asia",04,"Dry breakbulk carriers",28485,,
2018,5340,"Western Asia",06,"Roll-on/ roll-off ships",10945,,
2018,5340,"Western Asia",03,"Container ships",29633,,
2018,5340,"Western Asia",01,"Passenger ships",143974,,
2018,5400,"Europe",00,"All ships",2120489,,
2018,5400,"Europe",02,"Liquid bulk carriers",183184,,
2018,5400,"Europe",07,"Liquefied petroleum gas carriers",14473,,
2018,5400,"Europe",08,"Liquefied natural gas carriers",1875,,
2018,5400,"Europe",05,"Dry bulk carriers",37325,,
2018,5400,"Europe",04,"Dry breakbulk carriers",227742,,
2018,5400,"Europe",06,"Roll-on/ roll-off ships",89012,,
2018,5400,"Europe",03,"Container ships",96410,,
2018,5400,"Europe",01,"Passenger ships",1470468,,
2018,5410,"Eastern Europe",00,"All ships",122450,,
2018,5410,"Eastern Europe",02,"Liquid bulk carriers",26416,,
2018,5410,"Eastern Europe",07,"Liquefied petroleum gas carriers",905,,
2018,5410,"Eastern Europe",08,"Liquefied natural gas carriers",287,,
2018,5410,"Eastern Europe",05,"Dry bulk carriers",10817,,
2018,5410,"Eastern Europe",04,"Dry breakbulk carriers",43914,,
2018,5410,"Eastern Europe",06,"Roll-on/ roll-off ships",5538,,
2018,5410,"Eastern Europe",03,"Container ships",7354,,
2018,5410,"Eastern Europe",01,"Passenger ships",27219,,
2018,5420,"Northern Europe",00,"All ships",1019259,,
