Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2018,410,"Korea, Republic of",02,"Liquid bulk carriers",0.79,,,13,,,13319,,,23141,,,,,"Not available or not separately reported",170004,,,323183,,,,,"Not available or not separately reported"
2018,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.72,,,15,,,7354,,,8112,,,,,"Not available or not separately reported",49288,,,58585,,,,,"Not available or not separately reported"
2018,410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.03,,,10,,,112954,,,89028,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2018,410,"Korea, Republic of",05,"Dry bulk carriers",2.34,,,13,,,29254,,,53064,,,,,"Not available or not separately reported",172146,,,327095,,,,,"Not available or not separately reported"
2018,410,"Korea, Republic of",04,"Dry breakbulk carriers",1.29,,,17,,,5589,,,8505,,,,,"Not available or not separately reported",58265,,,138743,,,,,"Not available or not separately reported"
2018,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,24487,,,10391,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018,410,"Korea, Republic of",03,"Container ships",0.6,,,13,,,31178,,,,,"Not available or not separately reported",2884,,,217673,,,,,"Not available or not separately reported",20776,,
2018,410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",20,,,14763,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,528,"Netherlands (Kingdom of the)",00,"All ships",0.57,,,15,,,13088,,,14081,,,2886,,,217673,,,323527,,,21413,,
2018,528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.49,,,15,,,9440,,,17211,,,,,"Not available or not separately reported",170004,,,323527,,,,,"Not available or not separately reported"
2018,528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",0.94,,,11,,,7216,,,8057,,,,,"Not available or not separately reported",48456,,,58063,,,,,"Not available or not separately reported"
2018,528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.3,,,5,,,62032,,,48844,,,,,"Not available or not separately reported",136980,,,121946,,,,,"Not available or not separately reported"
2018,528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",0.84,,,10,,,36464,,,65406,,,,,"Not available or not separately reported",134692,,,262000,,,,,"Not available or not separately reported"
