Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2022,360,"Indonesia",05,"Dry bulk carriers",2.8153,,,18,,,26023,,,45918,,,,,"Not available or not separately reported",113628,,,230000,,,,,"Not available or not separately reported"
2022,360,"Indonesia",04,"Dry breakbulk carriers",1.1569,,,21,,,5112,,,6892,,,,,"Not available or not separately reported",57934,,,138743,,,,,"Not available or not separately reported"
2022,360,"Indonesia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",29,,,10827,,,4946,,,,,"Not available or not separately reported",76299,,,31801,,,,,"Not available or not separately reported"
2022,360,"Indonesia",03,"Container ships",1.0007,,,16,,,13226,,,,,"Not available or not separately reported",1168,,,176546,,,,,"Not available or not separately reported",16000,,
2022,360,"Indonesia",01,"Passenger ships",,,"Not available or not separately reported",22,,,5211,,,,,"Not available or not separately reported",,,"Not available or not separately reported",150695,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,380,"Italy",00,"All ships",1.3458,,,27,,,10399,,,20287,,,3531,,,235600,,,313049,,,23964,,
2022,380,"Italy",02,"Liquid bulk carriers",1.2618,,,19,,,17398,,,29567,,,,,"Not available or not separately reported",157477,,,299999,,,,,"Not available or not separately reported"
2022,380,"Italy",07,"Liquefied petroleum gas carriers",1.5417,,,16,,,8447,,,9614,,,,,"Not available or not separately reported",48051,,,55047,,,,,"Not available or not separately reported"
2022,380,"Italy",08,"Liquefied natural gas carriers",2.3653,,,19,,,44039,,,31811,,,,,"Not available or not separately reported",66174,,,48817,,,,,"Not available or not separately reported"
2022,380,"Italy",05,"Dry bulk carriers",4.2708,,,15,,,26572,,,46139,,,,,"Not available or not separately reported",151915,,,313049,,,,,"Not available or not separately reported"
2022,380,"Italy",04,"Dry breakbulk carriers",1.9319,,,20,,,6323,,,8834,,,,,"Not available or not separately reported",66870,,,73296,,,,,"Not available or not separately reported"
2022,380,"Italy",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,35355,,,13692,,,,,"Not available or not separately reported",76420,,,46634,,,,,"Not available or not separately reported"
2022,380,"Italy",03,"Container ships",0.9917,,,17,,,38781,,,,,"Not available or not separately reported",3531,,,232618,,,,,"Not available or not separately reported",23964,,
2022,380,"Italy",01,"Passenger ships",,,"Not available or not separately reported",29,,,7828,,,,,"Not available or not separately reported",,,"Not available or not separately reported",235600,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,392,"Japan",00,"All ships",0.4201,,,14,,,10092,,,15461,,,1539,,,194308,,,327017,,,19224,,
2022,392,"Japan",02,"Liquid bulk carriers",0.3083,,,12,,,8621,,,14683,,,,,"Not available or not separately reported",166094,,,322861,,,,,"Not available or not separately reported"
2022,392,"Japan",07,"Liquefied petroleum gas carriers",0.3403,,,13,,,6646,,,7254,,,,,"Not available or not separately reported",52868,,,58899,,,,,"Not available or not separately reported"
2022,392,"Japan",08,"Liquefied natural gas carriers",1.0125,,,14,,,68051,,,49432,,,,,"Not available or not separately reported",149367,,,122079,,,,,"Not available or not separately reported"
2022,392,"Japan",05,"Dry bulk carriers",0.7882,,,14,,,16996,,,29422,,,,,"Not available or not separately reported",161294,,,327017,,,,,"Not available or not separately reported"
2022,392,"Japan",04,"Dry breakbulk carriers",1.176,,,15,,,6888,,,9254,,,,,"Not available or not separately reported",66870,,,138743,,,,,"Not available or not separately reported"
2022,392,"Japan",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",12,,,16949,,,7411,,,,,"Not available or not separately reported",76420,,,46634,,,,,"Not available or not separately reported"
2022,392,"Japan",03,"Container ships",0.3785,,,13,,,15966,,,,,"Not available or not separately reported",1539,,,194308,,,,,"Not available or not separately reported",19224,,
2022,392,"Japan",01,"Passenger ships",,,"Not available or not separately reported",16,,,4572,,,,,"Not available or not separately reported",,,"Not available or not separately reported",50444,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,410,"Korea, Republic of",00,"All ships",0.8681,,,15,,,19016,,,21635,,,2907,,,236583,,,326932,,,23992,,
2022,410,"Korea, Republic of",02,"Liquid bulk carriers",0.7319,,,13,,,14236,,,24623,,,,,"Not available or not separately reported",170618,,,323514,,,,,"Not available or not separately reported"
2022,410,"Korea, Republic of",07,"Liquefied petroleum gas carriers",0.7958,,,14,,,7825,,,8545,,,,,"Not available or not separately reported",60783,,,64012,,,,,"Not available or not separately reported"
2022,410,"Korea, Republic of",08,"Liquefied natural gas carriers",1.0389,,,12,,,109497,,,86920,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2022,410,"Korea, Republic of",05,"Dry bulk carriers",2.3792,,,14,,,29770,,,53411,,,,,"Not available or not separately reported",173756,,,326932,,,,,"Not available or not separately reported"
2022,410,"Korea, Republic of",04,"Dry breakbulk carriers",1.1528,,,19,,,5386,,,7817,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2022,410,"Korea, Republic of",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",20,,,26736,,,10967,,,,,"Not available or not separately reported",76420,,,46634,,,,,"Not available or not separately reported"
2022,410,"Korea, Republic of",03,"Container ships",0.7125,,,14,,,31158,,,,,"Not available or not separately reported",2907,,,236583,,,,,"Not available or not separately reported",23992,,
2022,410,"Korea, Republic of",01,"Passenger ships",,,"Not available or not separately reported",12,,,16477,,,,,"Not available or not separately reported",,,"Not available or not separately reported",48035,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",00,"All ships",0.5903,,,18,,,12835,,,15591,,,2832,,,236583,,,399821,,,24004,,
2022,528,"Netherlands (Kingdom of the)",02,"Liquid bulk carriers",0.5681,,,17,,,9576,,,18223,,,,,"Not available or not separately reported",170611,,,321300,,,,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",07,"Liquefied petroleum gas carriers",0.9854,,,15,,,7069,,,7817,,,,,"Not available or not separately reported",50400,,,58811,,,,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",08,"Liquefied natural gas carriers",1.0524,,,7,,,81777,,,64302,,,,,"Not available or not separately reported",141671,,,104561,,,,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",05,"Dry bulk carriers",1.2559,,,11,,,38719,,,69585,,,,,"Not available or not separately reported",197453,,,399821,,,,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",04,"Dry breakbulk carriers",0.4035,,,23,,,3803,,,5310,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",23,,,18503,,,7228,,,,,"Not available or not separately reported",76420,,,48988,,,,,"Not available or not separately reported"
2022,528,"Netherlands (Kingdom of the)",03,"Container ships",0.8708,,,16,,,30500,,,,,"Not available or not separately reported",2832,,,236583,,,,,"Not available or not separately reported",24004,,
2022,528,"Netherlands (Kingdom of the)",01,"Passenger ships",,,"Not available or not separately reported",15,,,14088,,,,,"Not available or not separately reported",,,"Not available or not separately reported",185206,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,579,"Norway",00,"All ships",0.4264,,,13,,,4036,,,7348,,,794,,,184089,,,320926,,,1875,,
2022,579,"Norway",02,"Liquid bulk carriers",0.6115,,,15,,,10888,,,17569,,,,,"Not available or not separately reported",166308,,,320926,,,,,"Not available or not separately reported"
2022,579,"Norway",07,"Liquefied petroleum gas carriers",0.8382,,,11,,,8643,,,9386,,,,,"Not available or not separately reported",47500,,,54650,,,,,"Not available or not separately reported"
2022,579,"Norway",08,"Liquefied natural gas carriers",0.3167,,,16,,,18139,,,13205,,,,,"Not available or not separately reported",121597,,,96811,,,,,"Not available or not separately reported"
2022,579,"Norway",05,"Dry bulk carriers",0.8347,,,16,,,18920,,,31738,,,,,"Not available or not separately reported",108151,,,209177,,,,,"Not available or not separately reported"
2022,579,"Norway",04,"Dry breakbulk carriers",0.3389,,,24,,,2818,,,3406,,,,,"Not available or not separately reported",42515,,,62000,,,,,"Not available or not separately reported"
2022,579,"Norway",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,11027,,,6792,,,,,"Not available or not separately reported",70853,,,28092,,,,,"Not available or not separately reported"
2022,579,"Norway",03,"Container ships",0.35,,,18,,,8464,,,,,"Not available or not separately reported",794,,,17488,,,,,"Not available or not separately reported",1875,,
2022,579,"Norway",01,"Passenger ships",,,"Not available or not separately reported",12,,,3914,,,,,"Not available or not separately reported",,,"Not available or not separately reported",184089,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,608,"Philippines",00,"All ships",0.9785,,,19,,,7253,,,11699,,,1606,,,151094,,,297442,,,6570,,
2022,608,"Philippines",02,"Liquid bulk carriers",0.8521,,,13,,,6830,,,10883,,,,,"Not available or not separately reported",65696,,,115024,,,,,"Not available or not separately reported"
2022,608,"Philippines",07,"Liquefied petroleum gas carriers",0.7274,,,16,,,7348,,,8361,,,,,"Not available or not separately reported",50174,,,58814,,,,,"Not available or not separately reported"
2022,608,"Philippines",05,"Dry bulk carriers",4.901,,,14,,,26655,,,47068,,,,,"Not available or not separately reported",151094,,,297442,,,,,"Not available or not separately reported"
2022,608,"Philippines",04,"Dry breakbulk carriers",0.9281,,,21,,,4088,,,5423,,,,,"Not available or not separately reported",66870,,,71691,,,,,"Not available or not separately reported"
2022,608,"Philippines",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",27,,,18239,,,7956,,,,,"Not available or not separately reported",76299,,,31801,,,,,"Not available or not separately reported"
2022,608,"Philippines",03,"Container ships",0.9715,,,17,,,17421,,,,,"Not available or not separately reported",1606,,,72884,,,,,"Not available or not separately reported",6570,,
2022,608,"Philippines",01,"Passenger ships",,,"Not available or not separately reported",19,,,3755,,,,,"Not available or not separately reported",,,"Not available or not separately reported",75904,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,643,"Russian Federation",00,"All ships",1.5361,,,26,,,12006,,,18399,,,1293,,,136716,,,181458,,,8600,,
2022,643,"Russian Federation",02,"Liquid bulk carriers",1.1757,,,22,,,15738,,,26968,,,,,"Not available or not separately reported",87146,,,167282,,,,,"Not available or not separately reported"
2022,643,"Russian Federation",07,"Liquefied petroleum gas carriers",1.8924,,,20,,,10249,,,12295,,,,,"Not available or not separately reported",18425,,,23273,,,,,"Not available or not separately reported"
2022,643,"Russian Federation",08,"Liquefied natural gas carriers",1.0792,,,10,,,100089,,,73155,,,,,"Not available or not separately reported",136716,,,97000,,,,,"Not available or not separately reported"
2022,643,"Russian Federation",05,"Dry bulk carriers",2.7073,,,17,,,27275,,,47973,,,,,"Not available or not separately reported",94970,,,181458,,,,,"Not available or not separately reported"
2022,643,"Russian Federation",04,"Dry breakbulk carriers",1.8083,,,30,,,4341,,,5755,,,,,"Not available or not separately reported",84503,,,138743,,,,,"Not available or not separately reported"
2022,643,"Russian Federation",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",32,,,10432,,,5583,,,,,"Not available or not separately reported",58250,,,22910,,,,,"Not available or not separately reported"
2022,643,"Russian Federation",03,"Container ships",1.7201,,,18,,,14428,,,,,"Not available or not separately reported",1293,,,96628,,,,,"Not available or not separately reported",8600,,
2022,643,"Russian Federation",01,"Passenger ships",,,"Not available or not separately reported",28,,,7239,,,,,"Not available or not separately reported",,,"Not available or not separately reported",38557,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,702,"Singapore",00,"All ships",0.7569,,,12,,,25668,,,19252,,,5212,,,236583,,,323183,,,23964,,
2022,702,"Singapore",02,"Liquid bulk carriers",0.6451,,,11,,,11494,,,19283,,,,,"Not available or not separately reported",170611,,,323183,,,,,"Not available or not separately reported"
2022,702,"Singapore",07,"Liquefied petroleum gas carriers",1.1396,,,14,,,8221,,,9302,,,,,"Not available or not separately reported",51035,,,58448,,,,,"Not available or not separately reported"
2022,702,"Singapore",08,"Liquefied natural gas carriers",1.2785,,,10,,,104038,,,82195,,,,,"Not available or not separately reported",144978,,,121946,,,,,"Not available or not separately reported"
2022,702,"Singapore",05,"Dry bulk carriers",0.4184,,,10,,,17532,,,28435,,,,,"Not available or not separately reported",151307,,,298172,,,,,"Not available or not separately reported"
2022,702,"Singapore",04,"Dry breakbulk carriers",0.8458,,,16,,,9240,,,13034,,,,,"Not available or not separately reported",91649,,,138743,,,,,"Not available or not separately reported"
2022,702,"Singapore",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,54248,,,17894,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2022,702,"Singapore",03,"Container ships",0.9104,,,14,,,55780,,,,,"Not available or not separately reported",5212,,,236583,,,,,"Not available or not separately reported",23964,,
2022,702,"Singapore",01,"Passenger ships",,,"Not available or not separately reported",8,,,99491,,,,,"Not available or not separately reported",,,"Not available or not separately reported",169379,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,724,"Spain",00,"All ships",0.9069,,,18,,,16898,,,16572,,,3100,,,236583,,,318953,,,23964,,
2022,724,"Spain",02,"Liquid bulk carriers",0.875,,,13,,,11506,,,19000,,,,,"Not available or not separately reported",165571,,,318953,,,,,"Not available or not separately reported"
2022,724,"Spain",07,"Liquefied petroleum gas carriers",1.0486,,,12,,,8008,,,9043,,,,,"Not available or not separately reported",50468,,,55432,,,,,"Not available or not separately reported"
2022,724,"Spain",08,"Liquefied natural gas carriers",1.0497,,,10,,,97485,,,76320,,,,,"Not available or not separately reported",163922,,,130441,,,,,"Not available or not separately reported"
2022,724,"Spain",05,"Dry bulk carriers",2.0382,,,14,,,26164,,,45568,,,,,"Not available or not separately reported",107879,,,209472,,,,,"Not available or not separately reported"
2022,724,"Spain",04,"Dry breakbulk carriers",1.2208,,,17,,,5145,,,7234,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2022,724,"Spain",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",13,,,24999,,,8691,,,,,"Not available or not separately reported",76420,,,46634,,,,,"Not available or not separately reported"
2022,724,"Spain",03,"Container ships",0.6701,,,16,,,33592,,,,,"Not available or not separately reported",3100,,,236583,,,,,"Not available or not separately reported",23964,,
2022,724,"Spain",01,"Passenger ships",,,"Not available or not separately reported",19,,,15227,,,,,"Not available or not separately reported",,,"Not available or not separately reported",235600,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,752,"Sweden",00,"All ships",0.8194,,,24,,,17025,,,8967,,,1626,,,214286,,,320780,,,19630,,
2022,752,"Sweden",02,"Liquid bulk carriers",0.6722,,,15,,,8611,,,12994,,,,,"Not available or not separately reported",166223,,,320780,,,,,"Not available or not separately reported"
2022,752,"Sweden",07,"Liquefied petroleum gas carriers",0.9656,,,14,,,8720,,,9585,,,,,"Not available or not separately reported",50468,,,55115,,,,,"Not available or not separately reported"
2022,752,"Sweden",08,"Liquefied natural gas carriers",0.7875,,,7,,,12278,,,8585,,,,,"Not available or not separately reported",16100,,,12268,,,,,"Not available or not separately reported"
2022,752,"Sweden",05,"Dry bulk carriers",0.5427,,,28,,,7543,,,11438,,,,,"Not available or not separately reported",49445,,,85206,,,,,"Not available or not separately reported"
2022,752,"Sweden",04,"Dry breakbulk carriers",1.0389,,,22,,,3816,,,5403,,,,,"Not available or not separately reported",39433,,,61250,,,,,"Not available or not separately reported"
2022,752,"Sweden",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",19,,,28854,,,12024,,,,,"Not available or not separately reported",76420,,,34960,,,,,"Not available or not separately reported"
2022,752,"Sweden",03,"Container ships",0.7521,,,17,,,17352,,,,,"Not available or not separately reported",1626,,,214286,,,,,"Not available or not separately reported",19630,,
2022,752,"Sweden",01,"Passenger ships",,,"Not available or not separately reported",26,,,21023,,,,,"Not available or not separately reported",,,"Not available or not separately reported",181541,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,792,"Türkiye",00,"All ships",1.2576,,,25,,,5548,,,17379,,,2784,,,232618,,,305749,,,22000,,
2022,792,"Türkiye",02,"Liquid bulk carriers",1.2372,,,14,,,18725,,,32215,,,,,"Not available or not separately reported",159566,,,305749,,,,,"Not available or not separately reported"
2022,792,"Türkiye",07,"Liquefied petroleum gas carriers",1.1979,,,19,,,16550,,,19317,,,,,"Not available or not separately reported",49231,,,55432,,,,,"Not available or not separately reported"
2022,792,"Türkiye",08,"Liquefied natural gas carriers",1.2337,,,8,,,112056,,,89405,,,,,"Not available or not separately reported",141671,,,105602,,,,,"Not available or not separately reported"
2022,792,"Türkiye",05,"Dry bulk carriers",3.9212,,,16,,,24998,,,43155,,,,,"Not available or not separately reported",109716,,,211182,,,,,"Not available or not separately reported"
2022,792,"Türkiye",04,"Dry breakbulk carriers",1.4854,,,28,,,4281,,,6005,,,,,"Not available or not separately reported",74226,,,80067,,,,,"Not available or not separately reported"
2022,792,"Türkiye",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",27,,,23654,,,9660,,,,,"Not available or not separately reported",76420,,,46634,,,,,"Not available or not separately reported"
2022,792,"Türkiye",03,"Container ships",0.6639,,,18,,,30287,,,,,"Not available or not separately reported",2784,,,232618,,,,,"Not available or not separately reported",22000,,
2022,792,"Türkiye",01,"Passenger ships",,,"Not available or not separately reported",26,,,1839,,,,,"Not available or not separately reported",,,"Not available or not separately reported",167704,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,926,"United Kingdom",00,"All ships",1.1799,,,19,,,14137,,,13053,,,3252,,,236228,,,319896,,,24004,,
2022,926,"United Kingdom",02,"Liquid bulk carriers",1.0681,,,15,,,13158,,,21900,,,,,"Not available or not separately reported",166178,,,319896,,,,,"Not available or not separately reported"
2022,926,"United Kingdom",07,"Liquefied petroleum gas carriers",1.099,,,11,,,6902,,,7485,,,,,"Not available or not separately reported",59226,,,53999,,,,,"Not available or not separately reported"
2022,926,"United Kingdom",08,"Liquefied natural gas carriers",1.2243,,,8,,,97353,,,78702,,,,,"Not available or not separately reported",168189,,,154940,,,,,"Not available or not separately reported"
2022,926,"United Kingdom",05,"Dry bulk carriers",2.8153,,,14,,,26076,,,44653,,,,,"Not available or not separately reported",107879,,,208445,,,,,"Not available or not separately reported"
2022,926,"United Kingdom",04,"Dry breakbulk carriers",1.5278,,,20,,,3585,,,4971,,,,,"Not available or not separately reported",72275,,,81798,,,,,"Not available or not separately reported"
2022,926,"United Kingdom",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,24096,,,9733,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2022,926,"United Kingdom",03,"Container ships",0.8229,,,17,,,35218,,,,,"Not available or not separately reported",3252,,,236228,,,,,"Not available or not separately reported",24004,,
2022,926,"United Kingdom",01,"Passenger ships",,,"Not available or not separately reported",20,,,12799,,,,,"Not available or not separately reported",,,"Not available or not separately reported",204400,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2022,842,"United States of America",00,"All ships",1.6715,,,26,,,17984,,,48760,,,5345,,,235600,,,322829,,,19273,,
2022,842,"United States of America",02,"Liquid bulk carriers",1.6431,,,11,,,36144,,,62773,,,,,"Not available or not separately reported",170611,,,322829,,,,,"Not available or not separately reported"
2022,842,"United States of America",07,"Liquefied petroleum gas carriers",1.7938,,,9,,,30695,,,34820,,,,,"Not available or not separately reported",60784,,,64012,,,,,"Not available or not separately reported"
2022,842,"United States of America",08,"Liquefied natural gas carriers",1.3493,,,6,,,107196,,,85337,,,,,"Not available or not separately reported",149367,,,121946,,,,,"Not available or not separately reported"
2022,842,"United States of America",05,"Dry bulk carriers",2.4556,,,18,,,29800,,,53141,,,,,"Not available or not separately reported",109716,,,210000,,,,,"Not available or not separately reported"
2022,842,"United States of America",04,"Dry breakbulk carriers",2.0132,,,18,,,12510,,,16684,,,,,"Not available or not separately reported",91784,,,116173,,,,,"Not available or not separately reported"
2022,842,"United States of America",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,59757,,,21853,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2022,842,"United States of America",03,"Container ships",1.4014,,,15,,,59849,,,,,"Not available or not separately reported",5345,,,196670,,,,,"Not available or not separately reported",19273,,
2022,842,"United States of America",01,"Passenger ships",,,"Not available or not separately reported",31,,,9380,,,,,"Not available or not separately reported",,,"Not available or not separately reported",235600,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,0000,"World",00,"All ships",0.9944,,,18,,,14475,,,25662,,,3576,,,237000,,,404389,,,24116,,
2023,0000,"World",02,"Liquid bulk carriers",0.9875,,,15,,,16122,,,28406,,,,,"Not available or not separately reported",170618,,,323514,,,,,"Not available or not separately reported"
2023,0000,"World",07,"Liquefied petroleum gas carriers",1.0361,,,16,,,11002,,,12303,,,,,"Not available or not separately reported",60784,,,64220,,,,,"Not available or not separately reported"
2023,0000,"World",08,"Liquefied natural gas carriers",1.1174,,,12,,,93190,,,72828,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2023,0000,"World",05,"Dry bulk carriers",2.1326,,,15,,,32746,,,58623,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2023,0000,"World",04,"Dry breakbulk carriers",1.0771,,,21,,,5610,,,7799,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
2023,0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",18,,,26257,,,10443,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2023,0000,"World",03,"Container ships",0.7083,,,15,,,38683,,,,,"Not available or not separately reported",3576,,,237000,,,,,"Not available or not separately reported",24116,,
2023,0000,"World",01,"Passenger ships",,,"Not available or not separately reported",20,,,8377,,,,,"Not available or not separately reported",,,"Not available or not separately reported",235600,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,036,"Australia",00,"All ships",1.5424,,,17,,,34502,,,82240,,,4334,,,168666,,,297902,,,9661,,
2023,036,"Australia",02,"Liquid bulk carriers",1.3038,,,9,,,24799,,,42043,,,,,"Not available or not separately reported",85496,,,162342,,,,,"Not available or not separately reported"
2023,036,"Australia",07,"Liquefied petroleum gas carriers",0.8333,,,8,,,12940,,,13820,,,,,"Not available or not separately reported",53573,,,58811,,,,,"Not available or not separately reported"
2023,036,"Australia",08,"Liquefied natural gas carriers",1.1903,,,11,,,112020,,,85667,,,,,"Not available or not separately reported",149367,,,97955,,,,,"Not available or not separately reported"
2023,036,"Australia",05,"Dry bulk carriers",1.6736,,,11,,,60018,,,112233,,,,,"Not available or not separately reported",152311,,,297902,,,,,"Not available or not separately reported"
2023,036,"Australia",04,"Dry breakbulk carriers",1.9361,,,13,,,17202,,,25894,,,,,"Not available or not separately reported",66870,,,80500,,,,,"Not available or not separately reported"
2023,036,"Australia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",11,,,40129,,,14833,,,,,"Not available or not separately reported",76420,,,43878,,,,,"Not available or not separately reported"
2023,036,"Australia",03,"Container ships",1.4417,,,15,,,47224,,,,,"Not available or not separately reported",4334,,,111249,,,,,"Not available or not separately reported",9661,,
2023,036,"Australia",01,"Passenger ships",,,"Not available or not separately reported",27,,,8167,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,124,"Canada",00,"All ships",0.5708,,,25,,,11545,,,33981,,,5469,,,225282,,,318918,,,16000,,
2023,124,"Canada",02,"Liquid bulk carriers",1.0708,,,13,,,23240,,,38649,,,,,"Not available or not separately reported",161593,,,318918,,,,,"Not available or not separately reported"
2023,124,"Canada",07,"Liquefied petroleum gas carriers",1.5562,,,9,,,45810,,,52447,,,,,"Not available or not separately reported",50174,,,58899,,,,,"Not available or not separately reported"
2023,124,"Canada",05,"Dry bulk carriers",0.3632,,,22,,,28039,,,48148,,,,,"Not available or not separately reported",109982,,,210963,,,,,"Not available or not separately reported"
2023,124,"Canada",04,"Dry breakbulk carriers",0.1368,,,9,,,9255,,,11016,,,,,"Not available or not separately reported",49091,,,81279,,,,,"Not available or not separately reported"
2023,124,"Canada",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",15,,,14330,,,6859,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2023,124,"Canada",03,"Container ships",1.4569,,,15,,,59803,,,,,"Not available or not separately reported",5469,,,176546,,,,,"Not available or not separately reported",16000,,
2023,124,"Canada",01,"Passenger ships",,,"Not available or not separately reported",28,,,7640,,,,,"Not available or not separately reported",,,"Not available or not separately reported",225282,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,156,"China",00,"All ships",1.0528,,,14,,,33683,,,46551,,,4561,,,237000,,,404389,,,24116,,
2023,156,"China",02,"Liquid bulk carriers",1.1069,,,13,,,21119,,,37036,,,,,"Not available or not separately reported",170618,,,323514,,,,,"Not available or not separately reported"
2023,156,"China",07,"Liquefied petroleum gas carriers",1.0201,,,14,,,10025,,,10878,,,,,"Not available or not separately reported",60784,,,64220,,,,,"Not available or not separately reported"
2023,156,"China",08,"Liquefied natural gas carriers",1.1594,,,10,,,96307,,,76569,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2023,156,"China",05,"Dry bulk carriers",2.0118,,,14,,,43030,,,78610,,,,,"Not available or not separately reported",204014,,,404389,,,,,"Not available or not separately reported"
2023,156,"China",04,"Dry breakbulk carriers",1.3236,,,17,,,11160,,,15617,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
2023,156,"China",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,27181,,,9672,,,,,"Not available or not separately reported",89797,,,47528,,,,,"Not available or not separately reported"
2023,156,"China",03,"Container ships",0.6049,,,13,,,48856,,,,,"Not available or not separately reported",4561,,,237000,,,,,"Not available or not separately reported",24116,,
2023,156,"China",01,"Passenger ships",,,"Not available or not separately reported",13,,,19392,,,,,"Not available or not separately reported",,,"Not available or not separately reported",171598,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2023,191,"Croatia",00,"All ships",1.3132,,,18,,,3901,,,21393,,,4277,,,157844,,,306506,,,15500,,
2023,191,"Croatia",02,"Liquid bulk carriers",1.0299,,,16,,,17197,,,29495,,,,,"Not available or not separately reported",157844,,,306506,,,,,"Not available or not separately reported"
2023,191,"Croatia",08,"Liquefied natural gas carriers",2.4458,,,7,,,112138,,,91365,,,,,"Not available or not separately reported",120709,,,95788,,,,,"Not available or not separately reported"
2023,191,"Croatia",05,"Dry bulk carriers",2.2444,,,22,,,17579,,,30032,,,,,"Not available or not separately reported",94090,,,182820,,,,,"Not available or not separately reported"
2023,191,"Croatia",04,"Dry breakbulk carriers",2.8115,,,23,,,5141,,,7022,,,,,"Not available or not separately reported",149944,,,175897,,,,,"Not available or not separately reported"
